Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Furnishing,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,furnishing_label
101398,106,5,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
92131,48,4,2,1,1,1,1,Fully Furnished,4.5,152,1,1,1,1,1,2
42191,38,1,1,1,1,0,1,Semi Furnished,4.3,23,1,0,1,1,1,1
81355,40,5,1,1,1,1,1,Fully Furnished,4.4,7658,1,1,1,1,1,2
13066,28,0,1,1,1,0,1,Unfurnished,,,0,1,0,1,0,0
87820,52,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
127250,110,6,2,1,1,1,1,Fully Furnished,4.6,243,1,1,1,1,1,2
18506,30,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0
35073,31,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1
145568,52,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
94514,40,4,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
88513,40,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
51955,44,4,2,1,1,1,1,Semi Furnished,4.6,16,1,1,1,1,1,1
129375,99,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
9570,18,0,1,1,0,0,0,Unfurnished,,,0,0,0,0,0,0
90732,50,3,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
30508,34,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,0,1,0
51241,41,2,2,1,1,0,1,Semi Furnished,5,6,1,1,1,1,1,1
88159,50,3,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
129459,66,6,2,1,1,1,1,Fully Furnished,4.6,91,1,1,1,1,1,2
35207,30,2,2,1,1,1,1,Semi Furnished,,,1,0,0,1,1,1
111996,96,4,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
114493,74,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
16882,30,1,1,1,1,0,0,Unfurnished,4.4,126,0,1,0,1,0,0
127774,101,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
58120,40,3,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
132501,66,6,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
134950,114,4,3,1,1,2,1,Fully Furnished,3.7,80,1,1,1,1,1,2
9050,25,0,1,0,0,0,0,Unfurnished,4.2,37,0,1,1,1,0,0
103350,71,4,2,1,1,2,1,Fully Furnished,4.6,1872,1,1,1,1,1,2
87241,41,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
57166,44,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
37025,39,3,1,1,1,1,1,Semi Furnished,4.2,2428,1,1,1,1,1,1
3304,14,1,1,0,1,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0
11424,19,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,0,0
50606,45,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
86708,48,3,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
5758,14,1,1,1,0,0,0,Unfurnished,5,2,1,0,0,1,1,0
67498,41,3,2,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
13221,28,1,1,1,1,0,1,Unfurnished,3.6,20,1,0,0,1,0,0
46176,36,1,1,1,1,0,1,Semi Furnished,,,1,0,0,1,1,1
61682,42,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1
78392,59,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
91789,57,4,1,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
23558,29,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,0,0
136048,86,6,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
22463,34,1,1,1,1,0,1,Unfurnished,4.7,185,1,1,1,1,1,0
122645,118,6,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
27683,26,2,1,1,1,0,1,Unfurnished,4.5,152,1,0,0,0,0,0
40518,33,1,1,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1
85052,43,3,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
99576,60,3,2,1,1,2,1,Fully Furnished,4.4,120,1,1,1,1,1,2
2711,24,0,1,1,1,0,0,Unfurnished,,,0,0,0,0,1,0
41279,33,1,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
17264,20,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,0,0
99841,55,5,1,1,1,2,1,Fully Furnished,4.4,165,1,1,1,1,1,2
21246,33,1,1,1,1,0,0,Unfurnished,5,3,1,1,0,0,1,0
142614,85,4,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
23448,33,1,1,1,1,0,1,Unfurnished,,,1,1,0,0,1,0
127705,76,4,2,1,1,2,1,Fully Furnished,4.5,13,1,1,1,1,1,2
108998,80,6,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
82613,42,3,1,1,1,1,1,Fully Furnished,4.4,120,1,1,1,1,1,2
101883,52,4,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
90840,40,5,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
137504,64,5,2,1,1,2,1,Fully Furnished,5,6,1,1,1,1,1,2
40745,33,3,1,1,1,1,1,Semi Furnished,4.4,37,1,1,0,1,1,1
26986,26,2,1,1,1,0,0,Unfurnished,4.7,185,1,1,0,0,1,0
10998,22,1,1,0,1,0,0,Unfurnished,4.3,65,1,1,0,0,1,0
14918,22,1,1,1,1,0,0,Unfurnished,,,0,0,0,0,1,0
114875,99,4,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
12041,14,0,1,1,0,0,0,Unfurnished,,,0,1,0,0,1,0
113657,57,5,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
135434,56,4,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
22372,32,2,1,1,1,0,0,Unfurnished,4.4,77,1,1,0,0,0,0
149724,107,6,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
124745,93,5,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
99259,46,3,1,1,1,2,1,Fully Furnished,4.2,1574,1,1,1,1,1,2
121933,117,5,3,1,1,1,1,Fully Furnished,3.9,58,1,1,1,1,1,2
123727,111,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
63742,37,3,1,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
104950,111,6,3,1,1,2,1,Fully Furnished,4.5,152,1,1,1,1,1,2
19441,24,1,1,1,1,0,1,Unfurnished,,,0,0,1,0,0,0
92736,57,5,2,1,1,2,1,Fully Furnished,4,3,1,1,1,1,1,2
47512,34,1,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1
92879,54,3,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
127196,68,4,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
126121,115,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
53085,37,2,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
101312,64,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
88988,58,4,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
19555,21,1,1,1,1,0,0,Unfurnished,,,0,0,0,1,1,0
121267,113,6,2,1,1,2,1,Fully Furnished,4.2,1574,1,1,1,1,1,2
129791,56,6,2,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
36820,32,1,1,1,1,0,1,Semi Furnished,,,1,0,1,1,1,1
141428,94,5,2,1,1,2,1,Fully Furnished,4.5,839,1,1,1,1,1,2
32972,28,1,1,1,1,0,0,Unfurnished,,,1,0,1,1,0,0
124064,109,4,3,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
96058,50,5,1,1,1,2,1,Fully Furnished,4.4,34,1,1,1,1,1,2
93403,47,4,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
106057,108,5,2,1,1,2,1,Fully Furnished,3.7,41,1,1,1,1,1,2
94135,42,5,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
41264,34,2,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1
110888,97,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
76623,47,4,1,1,1,2,1,Fully Furnished,,,1,1,1,1,1,2
11133,25,1,1,1,1,0,0,Unfurnished,4.6,5,0,1,1,1,0,0
62352,43,3,2,1,1,1,1,Semi Furnished,,,1,1,1,1,1,1
49725,30,3,2,1,1,1,1,Semi Furnished,4.3,66.5,1,0,1,1,1,1
62193,44,3,1,1,1,0,1,Semi Furnished,,,1,1,1,1,1,1
132525,104,6,2,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
74075,44,4,1,1,1,2,1,Semi Furnished,,,1,1,1,1,1,1
106069,110,5,3,1,1,1,1,Fully Furnished,,,1,1,1,1,1,2
93108,46,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2
116400,59,4,2,1,1,1,1,Fully Furnished,3.8,65,1,1,1,1,1,2
