Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Concierge,Jogging Trail,Play Room,Storage Space,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
12000.0,25.0,0,1,1.0,0.0,0,0,4.1,27.0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0
58000.0,61.0,1,1,0.0,0.0,0,0,4.4,44.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
14000.0,25.0,1,1,1.0,0.0,0,0,4.2,85.0,1,1,1,0,0,0,0,0,0,1.0,0.0,0.0
22000.0,28.0,0,1,1.0,0.0,0,0,4.3,66.5,1,0,0,1,1,0,0,0,0,1.0,0.0,0.0
18000.0,30.0,2,1,1.0,0.0,0,0,4.2,37.0,1,0,0,1,0,1,1,0,0,0.0,0.0,1.0
80000.0,191.0,3,3,0.0,0.0,1,1,4.3,66.5,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0
10000.0,28.0,1,1,0.0,0.0,0,0,4.3,66.5,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
65000.0,73.0,2,6,0.0,0.0,0,0,4.4,37.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
55000.0,61.0,1,1,1.0,1.0,0,1,4.4,44.0,1,0,1,1,0,1,0,1,1,1.0,0.0,0.0
25000.0,45.02,1,1,1.0,0.0,0,1,4.3,66.5,1,1,1,0,0,1,1,0,0,1.0,0.0,0.0
23000.0,26.0,0,1,1.0,0.0,0,0,4.2,185.0,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0
15000.0,23.47,1,1,1.0,0.0,0,0,4.2,1574.0,1,1,1,1,0,1,1,1,0,1.0,0.0,0.0
15000.0,19.0,0,1,1.0,0.0,1,0,4.3,66.5,1,1,1,0,0,1,1,0,0,1.0,0.0,0.0
55000.0,80.0,2,3,1.0,1.0,0,0,4.4,165.0,1,0,1,1,0,1,0,0,1,0.0,0.0,1.0
13500.0,20.0,0,1,1.0,0.0,0,0,4.1,254.0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0
20000.0,32.0,2,1,1.0,1.0,0,0,4.6,18.0,1,1,0,1,1,1,1,1,1,1.0,0.0,0.0
14000.0,32.0,2,1,1.0,0.0,1,0,4.6,18.0,1,1,1,1,1,0,1,0,0,0.0,0.0,1.0
28000.0,28.0,1,1,0.0,0.0,0,0,4.2,19.0,0,0,0,1,1,0,0,0,0,1.0,0.0,0.0
14000.0,15.23,0,1,1.0,0.0,0,0,3.9,87.0,1,0,0,1,1,1,0,0,0,0.0,1.0,0.0
20000.0,37.0,1,1,1.0,0.0,0,0,4.5,152.0,1,0,1,0,0,1,1,0,0,0.0,0.0,1.0
20000.0,33.36,2,1,1.0,0.0,0,1,4.2,85.0,1,0,0,0,0,1,1,1,0,0.0,1.0,0.0
15900.0,23.0,0,1,1.0,0.0,0,0,5.0,1.0,1,1,0,1,0,0,1,1,0,0.0,1.0,0.0
25000.0,31.0,1,1,0.0,0.0,0,0,4.3,65.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
17000.0,33.07,1,1,1.0,0.0,0,0,4.3,66.5,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0
15000.0,30.0,2,1,0.0,0.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
15000.0,21.0,1,1,1.0,0.0,0,0,4.3,66.5,1,0,0,1,1,1,1,0,0,0.0,1.0,0.0
16000.0,24.0,0,1,1.0,0.0,0,0,4.2,301.0,1,0,0,0,1,1,0,0,0,0.0,1.0,0.0
28000.0,33.27,1,1,1.0,1.0,1,1,4.3,66.5,1,1,1,1,0,1,1,0,1,1.0,0.0,0.0
20000.0,26.0,0,1,1.0,0.0,0,1,4.5,6377.0,1,0,1,1,0,0,1,0,0,0.0,1.0,0.0
18000.0,24.0,0,1,1.0,0.0,0,0,4.3,396.0,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0
25000.0,25.0,0,1,1.0,0.0,0,0,4.4,392.0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0
18000.0,20.0,1,1,1.0,0.0,0,0,2.8,17.0,1,1,1,0,0,0,1,0,0,1.0,0.0,0.0
22000.0,20.0,0,1,1.0,1.0,1,1,4.1,19.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
16000.0,28.0,1,1,1.0,0.0,0,1,4.6,16.0,1,1,1,1,0,1,0,0,0,1.0,0.0,0.0
25000.0,33.0,1,1,1.0,0.0,1,0,4.3,396.0,1,1,1,0,1,1,0,0,0,1.0,0.0,0.0
18000.0,23.0,0,1,1.0,0.0,0,0,4.5,152.0,1,0,1,1,0,1,0,1,0,1.0,0.0,0.0
35000.0,36.3,1,1,1.0,0.0,0,0,4.3,66.5,1,0,1,1,0,1,0,0,0,0.0,0.0,1.0
18000.0,22.0,0,1,0.0,0.0,0,0,5.0,6.0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
22000.0,22.1,0,1,1.0,0.0,0,0,5.0,6.0,1,1,1,1,1,1,1,1,0,0.0,1.0,0.0
45000.0,47.0,0,1,1.0,0.0,1,0,4.4,37.0,1,0,1,1,1,0,1,0,0,1.0,0.0,0.0
21000.0,22.0,0,1,1.0,0.0,1,0,5.0,6.0,1,0,1,1,1,1,0,1,0,1.0,0.0,0.0
42000.0,46.0,1,1,1.0,0.0,1,0,4.4,37.0,1,0,1,1,1,0,0,0,0,1.0,0.0,0.0
30000.0,36.3,1,1,1.0,0.0,0,0,4.3,66.5,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0
16000.0,24.0,0,1,1.0,0.0,0,0,5.0,6.0,1,0,1,1,1,1,0,1,0,0.0,0.0,1.0
45000.0,48.0,1,1,1.0,0.0,1,1,4.4,37.0,1,0,0,1,1,0,0,0,0,1.0,0.0,0.0
75000.0,103.0,3,3,1.0,0.0,1,1,4.4,37.0,1,0,0,1,1,0,0,0,0,0.0,0.0,1.0
18000.0,22.0,0,1,1.0,1.0,0,0,4.5,152.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
30000.0,33.0,1,1,1.0,1.0,0,0,4.5,152.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
20000.0,20.0,0,1,1.0,0.0,0,0,4.5,152.0,1,1,1,1,0,1,0,0,0,1.0,0.0,0.0
35000.0,49.0,1,1,1.0,0.0,1,1,4.4,37.0,1,0,1,1,1,0,0,0,0,0.0,0.0,1.0
27000.0,39.6,1,1,1.0,1.0,0,1,4.3,66.5,1,1,1,1,0,1,0,0,1,1.0,0.0,0.0
16000.0,22.0,0,1,1.0,1.0,0,0,4.0,23.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
180000.0,650.0,5,3,0.0,0.0,0,0,4.3,66.5,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
30000.0,27.0,0,1,0.0,0.0,0,0,4.4,37.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
25000.0,27.0,0,1,0.0,0.0,1,0,4.4,37.0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0
26000.0,27.0,0,1,0.0,0.0,0,0,4.4,37.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
35000.0,37.0,1,1,1.0,1.0,0,0,4.5,152.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
20000.0,23.0,0,1,1.0,1.0,0,0,4.5,152.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
42000.0,54.0,2,1,1.0,1.0,1,0,4.5,152.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
65000.0,84.0,2,2,1.0,0.0,1,1,4.4,37.0,1,0,1,1,0,1,0,0,0,0.0,0.0,1.0
28000.0,32.0,0,1,1.0,1.0,0,0,4.5,152.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
40000.0,49.0,1,1,1.0,0.0,1,1,4.3,66.5,1,0,1,1,1,1,0,0,0,1.0,0.0,0.0
26000.0,34.0,1,1,1.0,1.0,1,0,4.0,23.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
