Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Furnishing,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,furnishing_label,price_per_sqm,amenities_count,size_category,occupancy_demand
101398,106,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,956.5849056603773,9,3,1
92131,48,4,2,1,1,1,1,Fully Furnished,4.5,152.0,1,1,1,1,1,2,1919.3958333333333,9,1,2
42191,38,1,1,1,1,0,1,Semi Furnished,4.3,23.0,1,0,1,1,1,1,1110.2894736842106,7,1,2
81355,40,5,1,1,1,1,1,Fully Furnished,4.4,7658.0,1,1,1,1,1,2,2033.875,9,1,2
13066,28,0,1,1,1,0,1,Unfurnished,4.3,66.5,0,1,0,1,0,0,466.64285714285717,5,0,2
87820,52,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1688.8461538461538,9,2,1
127250,110,6,2,1,1,1,1,Fully Furnished,4.6,243.0,1,1,1,1,1,2,1156.8181818181818,9,3,1
18506,30,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,616.8666666666667,3,1,2
35073,31,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1,1131.3870967741937,7,1,2
145568,52,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2799.3846153846152,9,2,1
94514,40,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2362.85,10,1,2
88513,40,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2212.825,9,1,2
51955,44,4,2,1,1,1,1,Semi Furnished,4.6,16.0,1,1,1,1,1,1,1180.7954545454545,9,1,2
129375,99,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1306.8181818181818,10,3,0
9570,18,0,1,1,0,0,0,Unfurnished,4.3,66.5,0,0,0,0,0,0,531.6666666666666,1,0,2
90732,50,3,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1814.64,10,2,1
30508,34,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,0,1,0,897.2941176470588,5,1,2
51241,41,2,2,1,1,0,1,Semi Furnished,5.0,6.0,1,1,1,1,1,1,1249.780487804878,8,1,2
88159,50,3,1,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1763.18,10,2,1
129459,66,6,2,1,1,1,1,Fully Furnished,4.6,91.0,1,1,1,1,1,2,1961.5,9,2,1
35207,30,2,2,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,1173.5666666666666,7,1,2
111996,96,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1166.625,9,3,1
114493,74,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1547.2027027027027,9,2,1
16882,30,1,1,1,1,0,0,Unfurnished,4.4,126.0,0,1,0,1,0,0,562.7333333333333,4,1,2
127774,101,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1265.0891089108911,10,3,1
58120,40,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1453.0,8,1,2
132501,66,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2007.590909090909,9,2,1
134950,114,4,3,1,1,2,1,Fully Furnished,3.7,80.0,1,1,1,1,1,2,1183.7719298245613,10,3,0
9050,25,0,1,0,0,0,0,Unfurnished,4.2,37.0,0,1,1,1,0,0,362.0,3,0,2
103350,71,4,2,1,1,2,1,Fully Furnished,4.6,1872.0,1,1,1,1,1,2,1455.6338028169014,10,2,2
87241,41,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2127.829268292683,9,1,2
57166,44,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1299.2272727272727,9,1,2
37025,39,3,1,1,1,1,1,Semi Furnished,4.2,2428.0,1,1,1,1,1,1,949.3589743589744,9,1,2
3304,14,1,1,0,1,0,0,Unfurnished,4.3,66.5,0,0,1,1,0,0,236.0,3,0,2
11424,19,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,0,0,601.2631578947369,5,0,2
50606,45,3,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1124.5777777777778,9,1,2
86708,48,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1806.4166666666667,9,1,2
5758,14,1,1,1,0,0,0,Unfurnished,5.0,2.0,1,0,0,1,1,0,411.2857142857143,4,0,2
67498,41,3,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1646.2926829268292,8,1,2
13221,28,1,1,1,1,0,1,Unfurnished,3.6,20.0,1,0,0,1,0,0,472.17857142857144,5,0,2
46176,36,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,1282.6666666666667,6,1,2
61682,42,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1468.6190476190477,9,1,2
78392,59,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1328.677966101695,9,2,1
91789,57,4,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1610.3333333333333,9,2,1
23558,29,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,0,0,1,0,0,812.3448275862069,4,0,2
136048,86,6,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1581.953488372093,10,3,0
22463,34,1,1,1,1,0,1,Unfurnished,4.7,185.0,1,1,1,1,1,0,660.6764705882352,8,1,2
122645,118,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1039.364406779661,9,3,1
27683,26,2,1,1,1,0,1,Unfurnished,4.5,152.0,1,0,0,0,0,0,1064.7307692307693,4,0,2
40518,33,1,1,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,1227.8181818181818,7,1,2
85052,43,3,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1977.953488372093,10,1,2
99576,60,3,2,1,1,2,1,Fully Furnished,4.4,120.0,1,1,1,1,1,2,1659.6,10,2,2
2711,24,0,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,112.95833333333333,3,0,2
41279,33,1,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,1250.878787878788,8,1,2
17264,20,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,1,0,0,0,863.2,5,0,2
99841,55,5,1,1,1,2,1,Fully Furnished,4.4,165.0,1,1,1,1,1,2,1815.290909090909,10,2,1
21246,33,1,1,1,1,0,0,Unfurnished,5.0,3.0,1,1,0,0,1,0,643.8181818181819,5,1,2
142614,85,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1677.8117647058823,10,3,0
23448,33,1,1,1,1,0,1,Unfurnished,4.3,66.5,1,1,0,0,1,0,710.5454545454545,6,1,2
127705,76,4,2,1,1,2,1,Fully Furnished,4.5,13.0,1,1,1,1,1,2,1680.328947368421,10,3,0
108998,80,6,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1362.475,10,3,0
82613,42,3,1,1,1,1,1,Fully Furnished,4.4,120.0,1,1,1,1,1,2,1966.9761904761904,9,1,2
101883,52,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1959.2884615384614,9,2,1
90840,40,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2271.0,9,1,2
137504,64,5,2,1,1,2,1,Fully Furnished,5.0,6.0,1,1,1,1,1,2,2148.5,10,2,1
40745,33,3,1,1,1,1,1,Semi Furnished,4.4,37.0,1,1,0,1,1,1,1234.6969696969697,8,1,2
26986,26,2,1,1,1,0,0,Unfurnished,4.7,185.0,1,1,0,0,1,0,1037.923076923077,5,0,2
10998,22,1,1,0,1,0,0,Unfurnished,4.3,65.0,1,1,0,0,1,0,499.90909090909093,4,0,2
14918,22,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,678.0909090909091,3,0,2
114875,99,4,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1160.3535353535353,10,3,1
12041,14,0,1,1,0,0,0,Unfurnished,4.3,66.5,0,1,0,0,1,0,860.0714285714286,3,0,2
113657,57,5,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1993.982456140351,10,2,1
135434,56,4,3,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,2418.464285714286,10,2,1
22372,32,2,1,1,1,0,0,Unfurnished,4.4,77.0,1,1,0,0,0,0,699.125,4,1,2
149724,107,6,2,1,1,2,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1399.2897196261683,10,3,0
124745,93,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,1341.3440860215053,9,3,0
