Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Furnishing,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,furnishing_label,amenities_count,size_category,occupancy_demand
101398,106,5,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
92131,48,4,2,1,1,1,1,Fully Furnished,4.5,152,1,1,1,1,1,2,9,1,2
42191,38,1,1,1,1,0,1,Semi Furnished,4.3,23,1,0,1,1,1,1,7,1,2
81355,40,5,1,1,1,1,1,Fully Furnished,4.4,7658,1,1,1,1,1,2,9,1,2
13066,28,0,1,1,1,0,1,Unfurnished,4.3,66.5,0,1,0,1,0,0,5,0,2
87820,52,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
127250,110,6,2,1,1,1,1,Fully Furnished,4.6,243,1,1,1,1,1,2,9,3,1
18506,30,1,1,1,1,0,0,Unfurnished,4.3,66.5,0,0,0,0,1,0,3,1,2
35073,31,2,2,1,1,0,1,Semi Furnished,4.3,66.5,1,1,0,1,1,1,7,1,2
145568,52,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
94514,40,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
88513,40,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
51955,44,4,2,1,1,1,1,Semi Furnished,4.6,16,1,1,1,1,1,1,9,1,2
129375,99,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,0
9570,18,0,1,1,0,0,0,Unfurnished,4.3,66.5,0,0,0,0,0,0,1,0,2
90732,50,3,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
30508,34,1,1,1,1,0,0,Unfurnished,4.3,66.5,1,1,0,0,1,0,5,1,2
51241,41,2,2,1,1,0,1,Semi Furnished,5,6,1,1,1,1,1,1,8,1,2
88159,50,3,1,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
129459,66,6,2,1,1,1,1,Fully Furnished,4.6,91,1,1,1,1,1,2,9,2,1
35207,30,2,2,1,1,1,1,Semi Furnished,4.3,66.5,1,0,0,1,1,1,7,1,2
111996,96,4,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
114493,74,5,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
16882,30,1,1,1,1,0,0,Unfurnished,4.4,126,0,1,0,1,0,0,4,1,2
127774,101,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,3,1
58120,40,3,1,1,1,0,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,8,1,2
132501,66,6,3,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,2,1
134950,114,4,3,1,1,1,1,Fully Furnished,3.7,80,1,1,1,1,1,2,9,3,0
9050,25,0,1,0,0,0,0,Unfurnished,4.2,37,0,1,1,1,0,0,3,0,2
103350,71,4,2,1,1,1,1,Fully Furnished,4.6,1872,1,1,1,1,1,2,9,2,2
87241,41,4,2,1,1,1,1,Fully Furnished,4.3,66.5,1,1,1,1,1,2,9,1,2
57166,44,4,1,1,1,1,1,Semi Furnished,4.3,66.5,1,1,1,1,1,1,9,1,2
