Price,Neighborhood,Floor,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Pets Allowed,Furnishing,Rating,ReviewsCount,school,hospital,shopping_mall,supermarket,church,park,gym,restaurant,bank,pharmacy,police,subway_station,train_station,university,transit_station,bus_station,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Concierge,Jogging Trail,Play Room,Storage Space,occupancy
12000,7,6.0,25.0,0,1,1.0,0.0,0,0,0,1,4.1,27.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
58000,3,15.0,61.0,1,1,0.0,0.0,0,0,0,0,4.4,44.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14000,10,7.0,25.0,1,1,1.0,0.0,0,0,0,0,4.2,85.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
22000,7,27.0,28.0,0,1,1.0,0.0,0,0,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
18000,10,7.0,30.0,2,1,1.0,0.0,0,0,0,2,4.2,37.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0
80000,6,15.0,191.0,3,3,0.0,0.0,1,1,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10000,10,15.0,28.0,1,1,0.0,0.0,0,0,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
65000,7,21.0,73.0,2,6,0.0,0.0,0,0,0,1,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
55000,3,33.0,61.0,1,1,1.0,1.0,0,1,0,0,4.4,44.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0
25000,10,1.0,45.02,1,1,1.0,0.0,0,1,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0
23000,14,22.0,26.0,0,1,1.0,0.0,0,0,0,0,4.2,185.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1
15000,9,3.0,23.47,1,1,1.0,0.0,0,0,0,0,4.2,1574.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
15000,10,2.0,19.0,0,1,1.0,0.0,1,0,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0
55000,4,15.0,80.0,2,3,1.0,1.0,0,0,0,2,4.4,165.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1
13500,14,23.0,20.0,0,1,1.0,0.0,0,0,0,1,4.1,254.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
20000,2,2.0,32.0,2,1,1.0,1.0,0,0,0,0,4.6,18.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0
14000,2,5.0,32.0,2,1,1.0,0.0,1,0,1,2,4.6,18.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0
28000,7,27.0,28.0,1,1,0.0,0.0,0,0,0,0,4.2,19.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
14000,7,20.0,15.23,0,1,1.0,0.0,0,0,0,1,3.9,87.0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
20000,9,6.0,37.0,1,1,1.0,0.0,0,0,0,2,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1
20000,10,11.0,33.36,2,1,1.0,0.0,0,1,0,1,4.2,85.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1
15900,0,9.0,23.0,0,1,1.0,0.0,0,0,0,1,5.0,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0
25000,0,18.0,31.0,1,1,0.0,0.0,0,0,0,0,4.3,65.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17000,0,21.0,33.07,1,1,1.0,0.0,0,0,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
15000,15,1.0,30.0,2,1,0.0,0.0,0,0,0,2,1.0,1.0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15000,11,15.0,21.0,1,1,1.0,0.0,0,0,0,1,4.3070110701107005,66.5,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
16000,8,15.0,24.0,0,1,1.0,0.0,0,0,0,1,4.2,301.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1
28000,9,15.0,33.27,1,1,1.0,1.0,1,1,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0
20000,9,15.0,26.0,0,1,1.0,0.0,0,1,0,1,4.5,6377.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1
18000,7,12.0,24.0,0,1,1.0,0.0,0,0,0,0,4.3,396.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1
25000,0,36.0,25.0,0,1,1.0,0.0,0,0,1,0,4.4,392.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1
18000,14,20.0,20.0,1,1,1.0,0.0,0,0,0,0,2.8,17.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0
22000,7,20.0,20.0,0,1,1.0,1.0,1,1,1,0,4.1,19.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
16000,9,33.0,28.0,1,1,1.0,0.0,0,1,0,0,4.6,16.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
25000,7,29.0,33.0,1,1,1.0,0.0,1,0,0,0,4.3,396.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
18000,9,5.0,23.0,0,1,1.0,0.0,0,0,1,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1
35000,8,20.0,36.3,1,1,1.0,0.0,0,0,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0
18000,0,11.0,22.0,0,1,0.0,0.0,0,0,0,2,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
22000,0,19.0,22.1,0,1,1.0,0.0,0,0,0,1,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
45000,7,8.0,47.0,0,1,1.0,0.0,1,0,1,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0
21000,0,10.0,22.0,0,1,1.0,0.0,1,0,0,0,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0
